"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	9834	1075317	914.5
	"Alabama"	"01"	"1-4 years"	"1-4"	1663	4284744	38.8
	"Alabama"	"01"	"5-9 years"	"5-9"	1045	5501347	19.0
	"Alabama"	"01"	"10-14 years"	"10-14"	1292	5748930	22.5
	"Alabama"	"01"	"15-19 years"	"15-19"	4801	5917674	81.1
	"Alabama"	"01"	"20-24 years"	"20-24"	7771	5968743	130.2
	"Alabama"	"01"	"25-34 years"	"25-34"	17513	10881103	160.9
	"Alabama"	"01"	"35-44 years"	"35-44"	31753	11452875	277.2
	"Alabama"	"01"	"45-54 years"	"45-54"	68799	11789680	583.6
	"Alabama"	"01"	"55-64 years"	"55-64"	115090	9696555	1186.9
	"Alabama"	"01"	"65-74 years"	"65-74"	163496	6561696	2491.7
	"Alabama"	"01"	"75-84 years"	"75-84"	224643	3790235	5926.9
	"Alabama"	"01"	"85+ years"	"85+"	213109	1323537	16101.5
	"Alabama"	"01"	"Not Stated"	"NS"	20	Not Applicable	Not Applicable
	"Alaska"	"02"	"< 1 year"	"1"	1176	189038	622.1
	"Alaska"	"02"	"1-4 years"	"1-4"	300	733394	40.9
	"Alaska"	"02"	"5-9 years"	"5-9"	154	912518	16.9
	"Alaska"	"02"	"10-14 years"	"10-14"	277	954424	29.0
	"Alaska"	"02"	"15-19 years"	"15-19"	847	934580	90.6
	"Alaska"	"02"	"20-24 years"	"20-24"	1266	940891	134.6
	"Alaska"	"02"	"25-34 years"	"25-34"	2559	1782546	143.6
	"Alaska"	"02"	"35-44 years"	"35-44"	3906	1783429	219.0
	"Alaska"	"02"	"45-54 years"	"45-54"	7631	1878084	406.3
	"Alaska"	"02"	"55-64 years"	"55-64"	10616	1322157	802.9
	"Alaska"	"02"	"65-74 years"	"65-74"	11589	599056	1934.5
	"Alaska"	"02"	"75-84 years"	"75-84"	12967	254512	5094.8
	"Alaska"	"02"	"85+ years"	"85+"	10084	76951	13104.4
	"Arizona"	"04"	"< 1 year"	"1"	10153	1570801	646.4
	"Arizona"	"04"	"1-4 years"	"1-4"	2198	6222511	35.3
	"Arizona"	"04"	"5-9 years"	"5-9"	1098	7652881	14.3
	"Arizona"	"04"	"10-14 years"	"10-14"	1407	7729597	18.2
	"Arizona"	"04"	"15-19 years"	"15-19"	5150	7689630	67.0
	"Arizona"	"04"	"20-24 years"	"20-24"	8193	7795744	105.1
	"Arizona"	"04"	"25-34 years"	"25-34"	18125	14990111	120.9
	"Arizona"	"04"	"35-44 years"	"35-44"	29632	14606273	202.9
	"Arizona"	"04"	"45-54 years"	"45-54"	59768	13904830	429.8
	"Arizona"	"04"	"55-64 years"	"55-64"	99709	11650741	855.8
	"Arizona"	"04"	"65-74 years"	"65-74"	150767	8589681	1755.2
	"Arizona"	"04"	"75-84 years"	"75-84"	222346	5018739	4430.3
	"Arizona"	"04"	"85+ years"	"85+"	228976	1726891	13259.4
	"Arizona"	"04"	"Not Stated"	"NS"	585	Not Applicable	Not Applicable
	"Arkansas"	"05"	"< 1 year"	"1"	5475	686512	797.5
	"Arkansas"	"05"	"1-4 years"	"1-4"	1143	2737211	41.8
	"Arkansas"	"05"	"5-9 years"	"5-9"	662	3450812	19.2
	"Arkansas"	"05"	"10-14 years"	"10-14"	820	3526343	23.3
	"Arkansas"	"05"	"15-19 years"	"15-19"	2866	3581016	80.0
	"Arkansas"	"05"	"20-24 years"	"20-24"	4338	3575895	121.3
	"Arkansas"	"05"	"25-34 years"	"25-34"	10077	6634152	151.9
	"Arkansas"	"05"	"35-44 years"	"35-44"	17788	6782320	262.3
	"Arkansas"	"05"	"45-54 years"	"45-54"	38833	6888393	563.7
	"Arkansas"	"05"	"55-64 years"	"55-64"	67450	5828958	1157.2
	"Arkansas"	"05"	"65-74 years"	"65-74"	98382	4106072	2396.0
	"Arkansas"	"05"	"75-84 years"	"75-84"	136843	2416989	5661.7
	"Arkansas"	"05"	"85+ years"	"85+"	138273	903264	15308.1
	"Arkansas"	"05"	"Not Stated"	"NS"	15	Not Applicable	Not Applicable
	"California"	"06"	"< 1 year"	"1"	46975	9136914	514.1
	"California"	"06"	"1-4 years"	"1-4"	8620	36217989	23.8
	"California"	"06"	"5-9 years"	"5-9"	5227	45670182	11.4
	"California"	"06"	"10-14 years"	"10-14"	6626	47284447	14.0
	"California"	"06"	"15-19 years"	"15-19"	23168	47637255	48.6
	"California"	"06"	"20-24 years"	"20-24"	36597	48451352	75.5
	"California"	"06"	"25-34 years"	"25-34"	78734	96652347	81.5
	"California"	"06"	"35-44 years"	"35-44"	143394	95741752	149.8
	"California"	"06"	"45-54 years"	"45-54"	316081	89230311	354.2
	"California"	"06"	"55-64 years"	"55-64"	506113	65950974	767.4
	"California"	"06"	"65-74 years"	"65-74"	700073	40590146	1724.7
	"California"	"06"	"75-84 years"	"75-84"	1117810	24846027	4498.9
	"California"	"06"	"85+ years"	"85+"	1316790	10007075	13158.6
	"California"	"06"	"Not Stated"	"NS"	855	Not Applicable	Not Applicable
	"Colorado"	"08"	"< 1 year"	"1"	6950	1187303	585.4
	"Colorado"	"08"	"1-4 years"	"1-4"	1244	4735140	26.3
	"Colorado"	"08"	"5-9 years"	"5-9"	719	5923732	12.1
	"Colorado"	"08"	"10-14 years"	"10-14"	1024	5968278	17.2
	"Colorado"	"08"	"15-19 years"	"15-19"	3447	5998046	57.5
	"Colorado"	"08"	"20-24 years"	"20-24"	5476	6250541	87.6
	"Colorado"	"08"	"25-34 years"	"25-34"	12550	12919247	97.1
	"Colorado"	"08"	"35-44 years"	"35-44"	21245	12911546	164.5
	"Colorado"	"08"	"45-54 years"	"45-54"	43302	12579955	344.2
	"Colorado"	"08"	"55-64 years"	"55-64"	67669	9459183	715.4
	"Colorado"	"08"	"65-74 years"	"65-74"	91051	5430696	1676.6
	"Colorado"	"08"	"75-84 years"	"75-84"	140976	2986048	4721.2
	"Colorado"	"08"	"85+ years"	"85+"	165612	1159544	14282.5
	"Colorado"	"08"	"Not Stated"	"NS"	33	Not Applicable	Not Applicable
	"Connecticut"	"09"	"< 1 year"	"1"	4076	711727	572.7
	"Connecticut"	"09"	"1-4 years"	"1-4"	529	2985863	17.7
	"Connecticut"	"09"	"5-9 years"	"5-9"	405	4051538	10.0
	"Connecticut"	"09"	"10-14 years"	"10-14"	482	4340854	11.1
	"Connecticut"	"09"	"15-19 years"	"15-19"	1689	4399816	38.4
	"Connecticut"	"09"	"20-24 years"	"20-24"	3108	3915755	79.4
	"Connecticut"	"09"	"25-34 years"	"25-34"	6915	7713292	89.7
	"Connecticut"	"09"	"35-44 years"	"35-44"	14022	9220055	152.1
	"Connecticut"	"09"	"45-54 years"	"45-54"	31601	9663238	327.0
	"Connecticut"	"09"	"55-64 years"	"55-64"	52013	7371672	705.6
	"Connecticut"	"09"	"65-74 years"	"65-74"	78352	4576359	1712.1
	"Connecticut"	"09"	"75-84 years"	"75-84"	141974	3063316	4634.7
	"Connecticut"	"09"	"85+ years"	"85+"	196120	1416410	13846.3
	"Connecticut"	"09"	"Not Stated"	"NS"	40	Not Applicable	Not Applicable
	"Delaware"	"10"	"< 1 year"	"1"	1682	197479	851.7
	"Delaware"	"10"	"1-4 years"	"1-4"	209	784012	26.7
	"Delaware"	"10"	"5-9 years"	"5-9"	130	991729	13.1
	"Delaware"	"10"	"10-14 years"	"10-14"	157	1030283	15.2
	"Delaware"	"10"	"15-19 years"	"15-19"	614	1091562	56.2
	"Delaware"	"10"	"20-24 years"	"20-24"	981	1073442	91.4
	"Delaware"	"10"	"25-34 years"	"25-34"	2458	2027440	121.2
	"Delaware"	"10"	"35-44 years"	"35-44"	4645	2155236	215.5
	"Delaware"	"10"	"45-54 years"	"45-54"	10066	2212045	455.1
	"Delaware"	"10"	"55-64 years"	"55-64"	16221	1820126	891.2
	"Delaware"	"10"	"65-74 years"	"65-74"	24639	1272827	1935.8
	"Delaware"	"10"	"75-84 years"	"75-84"	36732	725467	5063.2
	"Delaware"	"10"	"85+ years"	"85+"	37446	258722	14473.5
	"Delaware"	"10"	"Not Stated"	"NS"	15	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"< 1 year"	"1"	1559	140864	1106.7
	"District of Columbia"	"11"	"1-4 years"	"1-4"	179	491423	36.4
	"District of Columbia"	"11"	"5-9 years"	"5-9"	109	533533	20.4
	"District of Columbia"	"11"	"10-14 years"	"10-14"	111	511200	21.7
	"District of Columbia"	"11"	"15-19 years"	"15-19"	626	691497	90.5
	"District of Columbia"	"11"	"20-24 years"	"20-24"	1125	1014363	110.9
	"District of Columbia"	"11"	"25-34 years"	"25-34"	2551	2171237	117.5
	"District of Columbia"	"11"	"35-44 years"	"35-44"	4704	1555364	302.4
	"District of Columbia"	"11"	"45-54 years"	"45-54"	9937	1365452	727.7
	"District of Columbia"	"11"	"55-64 years"	"55-64"	13843	1094313	1265.0
	"District of Columbia"	"11"	"65-74 years"	"65-74"	15781	669885	2355.8
	"District of Columbia"	"11"	"75-84 years"	"75-84"	20653	412015	5012.7
	"District of Columbia"	"11"	"85+ years"	"85+"	22903	176973	12941.5
	"District of Columbia"	"11"	"Not Stated"	"NS"	75	Not Applicable	Not Applicable
	"Florida"	"12"	"< 1 year"	"1"	26770	3815455	701.6
	"Florida"	"12"	"1-4 years"	"1-4"	5175	15106989	34.3
